,Neighborhood,Neighborhood Latitude,Neighborhood Longitude,Venue,Venue Latitude,Venue Longitude,Venue Category
0,Barrio Concha y Toro,-33.445770263671875,-70.66598510742188,Café Forastero,-33.44549632842146,-70.66770590537745,Coffee Shop
1,Barrio Concha y Toro,-33.445770263671875,-70.66598510742188,Pastelería Creme Caramel,-33.44520001401911,-70.66808927201663,Pie Shop
2,Barrio Concha y Toro,-33.445770263671875,-70.66598510742188,Il divertimento,-33.444991342125746,-70.66481902859775,Bar
3,Barrio Concha y Toro,-33.445770263671875,-70.66598510742188,Sala Yuukti Yoga,-33.44802562710873,-70.6652279478587,Yoga Studio
4,Barrio Concha y Toro,-33.445770263671875,-70.66598510742188,Café Tales,-33.444977931076444,-70.66484775294441,Café
5,Barrio Concha y Toro,-33.445770263671875,-70.66598510742188,Palacio Concha,-33.44499781886399,-70.66482137130296,Other Nightlife
6,Barrio Concha y Toro,-33.445770263671875,-70.66598510742188,Madera y Carbón,-33.445120632443846,-70.66828249812386,Arepa Restaurant
7,Barrio Concha y Toro,-33.445770263671875,-70.66598510742188,Meson Danés,-33.445019881974794,-70.66483404334058,Dive Bar
8,Barrio Concha y Toro,-33.445770263671875,-70.66598510742188,Liga Chilena contra la Epilepsia,-33.44559641081333,-70.66680477708952,Medical Center
9,Barrio Concha y Toro,-33.445770263671875,-70.66598510742188,El Palacio del Vino,-33.44434280237696,-70.66474606413881,Restaurant
10,Barrio Concha y Toro,-33.445770263671875,-70.66598510742188,Plaza libertad de Prensa,-33.44547765010972,-70.66587303428159,Plaza
11,Barrio Concha y Toro,-33.445770263671875,-70.66598510742188,The Princesa Insolente Hostel,-33.444180511559395,-70.66884593617904,Hostel
12,Barrio Concha y Toro,-33.445770263671875,-70.66598510742188,Concha y Toro 42,-33.44552579658065,-70.66586457953515,Community Center
13,Barrio Concha y Toro,-33.445770263671875,-70.66598510742188,Libreria Metales Pesados,-33.44644163072031,-70.6622051413443,Bookstore
14,Barrio Concha y Toro,-33.445770263671875,-70.66598510742188,Las Mechadas - Sándwiches Caseros,-33.443636128637536,-70.66210058555912,Sandwich Place
15,Barrio Concha y Toro,-33.445770263671875,-70.66598510742188,Riskitin,-33.448951623001435,-70.66647123874593,Pub
16,Barrio Concha y Toro,-33.445770263671875,-70.66598510742188,Barrio Brasil,-33.44146120222569,-70.66513269412096,Neighborhood
17,Barrio Concha y Toro,-33.445770263671875,-70.66598510742188,Matildas Hotel Boutique,-33.442100524902344,-70.66602325439453,Hotel
18,Barrio Concha y Toro,-33.445770263671875,-70.66598510742188,Polenta Pizzería,-33.44888567969972,-70.66643947021494,Pizza Place
19,Barrio Concha y Toro,-33.445770263671875,-70.66598510742188,Tat Wong Kung Fu Academy,-33.44845419171934,-70.67024470531335,Martial Arts School
20,Barrio Concha y Toro,-33.445770263671875,-70.66598510742188,Sole Mio,-33.443117806235435,-70.66201359914054,Italian Restaurant
21,Barrio Concha y Toro,-33.445770263671875,-70.66598510742188,S&S Bar,-33.44944476714826,-70.66613990756444,Pub
22,Barrio Concha y Toro,-33.445770263671875,-70.66598510742188,Restaurant Marisquería Tahiti,-33.444661940656985,-70.66945605335115,Seafood Restaurant
23,Barrio Concha y Toro,-33.445770263671875,-70.66598510742188,República,-33.44875721614592,-70.66809450547792,Beer Garden
24,Barrio Concha y Toro,-33.445770263671875,-70.66598510742188,El Cerveza,-33.44981744961649,-70.66720149989992,Bar
25,Barrio Concha y Toro,-33.445770263671875,-70.66598510742188,Clásico,-33.45013197697757,-70.6654224935952,Bar
26,Barrio Concha y Toro,-33.445770263671875,-70.66598510742188,Panadería San Camilo,-33.44848896185646,-70.67024363358976,Bakery
27,Barrio Concha y Toro,-33.445770263671875,-70.66598510742188,Señor Monkey,-33.44810587909592,-70.66261346583937,Bar
28,Barrio Concha y Toro,-33.445770263671875,-70.66598510742188,Hotel Conde Ansurez,-33.44878299792761,-70.66816793824492,Hotel
29,Barrio Concha y Toro,-33.445770263671875,-70.66598510742188,Arrieros Colombianos,-33.44472051948735,-70.66967163306188,Arepa Restaurant
30,Barrio Concha y Toro,-33.445770263671875,-70.66598510742188,Pub Makalu,-33.44981632221124,-70.66701263423059,Bar
31,Barrio Concha y Toro,-33.445770263671875,-70.66598510742188,La Palomera,-33.445718,-70.670972,Theater
32,Barrio Las Flores SA,-33.4061393737793,-70.57734680175781,Juegos del Parque Araucano,-33.40397623638312,-70.57707189489922,Playground
33,Barrio Las Flores SA,-33.4061393737793,-70.57734680175781,Al Grano,-33.40607434238423,-70.57423154072454,Vegetarian / Vegan Restaurant
34,Barrio Las Flores SA,-33.4061393737793,-70.57734680175781,CorpArtes,-33.4045180195893,-70.57362117034982,General Entertainment
35,Barrio Las Flores SA,-33.4061393737793,-70.57734680175781,Armani Exchange,-33.40282890384673,-70.57770919348854,Men's Store
36,Barrio Las Flores SA,-33.4061393737793,-70.57734680175781,D' Fab,-33.40516774391877,-70.57468345750827,Salad Place
37,Barrio Las Flores SA,-33.4061393737793,-70.57734680175781,VidaParque,-33.403367372237206,-70.57520235787506,Park
38,Barrio Las Flores SA,-33.4061393737793,-70.57734680175781,Lush,-33.40259694457871,-70.57884120569014,Cosmetics Shop
39,Barrio Las Flores SA,-33.4061393737793,-70.57734680175781,La Fête Chocolat,-33.40282292723881,-70.57802649380592,Chocolate Shop
40,Barrio Las Flores SA,-33.4061393737793,-70.57734680175781,Barra Chalaca,-33.4023,-70.577038,Peruvian Restaurant
41,Barrio Las Flores SA,-33.4061393737793,-70.57734680175781,Parque Arauco,-33.402372308626084,-70.57826287386885,Shopping Mall
42,Barrio Las Flores SA,-33.4061393737793,-70.57734680175781,Feria Chilena del Libro,-33.4027601535336,-70.57763978887792,Bookstore
43,Barrio Las Flores SA,-33.4061393737793,-70.57734680175781,+relax,-33.403027763462035,-70.579393817128,Spa
44,Barrio Las Flores SA,-33.4061393737793,-70.57734680175781,Whittard of Chelsea,-33.403109410969265,-70.57875233634779,Gourmet Shop
45,Barrio Las Flores SA,-33.4061393737793,-70.57734680175781,Inside Tea Connection,-33.40221889592614,-70.57860871947202,Tea Room
46,Barrio Las Flores SA,-33.4061393737793,-70.57734680175781,Cardio Pilates,-33.40755800450801,-70.5725380551305,Gym / Fitness Center
47,Barrio Las Flores SA,-33.4061393737793,-70.57734680175781,Padel Cerro Colorado,-33.40552059885147,-70.58180093614584,Tennis Court
48,Barrio Las Flores SA,-33.4061393737793,-70.57734680175781,Teatro Mori,-33.402225090396804,-70.57860092744698,Theater
49,Barrio Las Flores SA,-33.4061393737793,-70.57734680175781,Columbia,-33.40197099515102,-70.57729855703522,Sporting Goods Shop
50,Barrio Las Flores SA,-33.4061393737793,-70.57734680175781,Kiehl's,-33.402775810369796,-70.57759727277322,Cosmetics Shop
51,Barrio Las Flores SA,-33.4061393737793,-70.57734680175781,Americanino,-33.4028374947208,-70.57838356794298,Clothing Store
52,Barrio Las Flores SA,-33.4061393737793,-70.57734680175781,VidaParque - Gustock La Fiesta del Picnic,-33.40332966551065,-70.57581700667829,Park
53,Barrio Las Flores SA,-33.4061393737793,-70.57734680175781,CAT,-33.401951605421345,-70.5773048074584,Clothing Store
54,Barrio Las Flores SA,-33.4061393737793,-70.57734680175781,Hugo Boss,-33.40240677014472,-70.57886305469059,Men's Store
55,Barrio Las Flores SA,-33.4061393737793,-70.57734680175781,Casaideas,-33.40276306453771,-70.57763830146513,Furniture / Home Store
56,Barrio Las Flores SA,-33.4061393737793,-70.57734680175781,Wicked Food Truck,-33.403011574345655,-70.57468411878111,Food Truck
57,Barrio Las Flores SA,-33.4061393737793,-70.57734680175781,Whittard,-33.402850914762375,-70.5774862291427,Tea Room
58,Barrio Las Flores SA,-33.4061393737793,-70.57734680175781,ALDO,-33.402870873311976,-70.57820814087188,Shoe Store
59,Barrio Las Flores SA,-33.4061393737793,-70.57734680175781,Bath & Body Works,-33.40279016248563,-70.57846563048817,Cosmetics Shop
60,Barrio Las Flores SA,-33.4061393737793,-70.57734680175781,Levi's Global Store,-33.402762490062656,-70.57759092968324,Clothing Store
61,Barrio Las Flores SA,-33.4061393737793,-70.57734680175781,Sportlife,-33.405344006060965,-70.57387302448767,Gym
62,Barrio Las Flores SA,-33.4061393737793,-70.57734680175781,Cine Hoyt Sala 4 DX,-33.40195106368599,-70.5785351352526,Movie Theater
